Protein Group#,Protein Accession #,Protein Description,GN,Protein_ID
SJPG102208.001,sp|A2A432|CUL4B_MOUSE,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1,Cul4b,A2A432
SJPG103073.001,sp|P97393|RHG05_MOUSE,Rho GTPase-activating protein 5 OS=Mus musculus GN=Arhgap5 PE=1 SV=2,Arhgap5,P97393
SJPG101019.001,sp|P97427|DPYL1_MOUSE,Dihydropyrimidinase-related protein 1 OS=Mus musculus GN=Crmp1 PE=1 SV=1,Crmp1,P97427
SJPG102472.001,sp|P97429|ANXA4_MOUSE,Annexin A4 OS=Mus musculus GN=Anxa4 PE=2 SV=4,Anxa4,P97429
SJPG102439.001,sp|P97434|MPRIP_MOUSE,Myosin phosphatase Rho-interacting protein OS=Mus musculus GN=Mprip PE=1 SV=2,Mprip,P97434
SJPG120556.001,sp|P97443|SMYD1_MOUSE,Histone-lysine N-methyltransferase Smyd1 OS=Mus musculus GN=Smyd1 PE=1 SV=3,Smyd1,P97443
SJPG107462.001,sp|P97447|FHL1_MOUSE,Four and a half LIM domains protein 1 OS=Mus musculus GN=Fhl1 PE=1 SV=3,Fhl1,P97447
SJPG102648.001,sp|P97449|AMPN_MOUSE,Aminopeptidase N OS=Mus musculus GN=Anpep PE=1 SV=4,Anpep,P97449
SJPG100220.001,sp|P97450|ATP5J_MOUSE,"ATP synthase-coupling factor 6, mitochondrial OS=Mus musculus GN=Atp5j PE=1 SV=1",Atp5j,P97450
SJPG118364.001,sp|P97457|MLRS_MOUSE,"Myosin regulatory light chain 2, skeletal muscle isoform OS=Mus musculus GN=Mylpf PE=1 SV=3",Mylpf,P97457
SJPG100573.001,sp|P97461|RS5_MOUSE,40S ribosomal protein S5 OS=Mus musculus GN=Rps5 PE=1 SV=3,Rps5,P97461
SJPG105868.001,sp|P97471|SMAD4_MOUSE,Mothers against decapentaplegic homolog 4 OS=Mus musculus GN=Smad4 PE=1 SV=2,Smad4,P97471
SJPG103293.001,sp|P97478|COQ7_MOUSE,Ubiquinone biosynthesis protein COQ7 homolog OS=Mus musculus GN=Coq7 PE=2 SV=3,Coq7,P97478
SJPG112102.001,sp|P97479|MYO7A_MOUSE,Unconventional myosin-VIIa OS=Mus musculus GN=Myo7a PE=1 SV=2,Myo7a,P97479
SJPG102399.001,sp|P97494|GSH1_MOUSE,Glutamate--cysteine ligase catalytic subunit OS=Mus musculus GN=Gclc PE=2 SV=4,Gclc,P97494
SJPG103412.001,sp|P97496|SMRC1_MOUSE,SWI/SNF complex subunit SMARCC1 OS=Mus musculus GN=Smarcc1 PE=1 SV=2,Smarcc1,P97496
SJPG111532.001,sp|P97499|TEP1_MOUSE,Telomerase protein component 1 OS=Mus musculus GN=Tep1 PE=1 SV=1,Tep1,P97499
SJPG104714.001,sp|P97742|CPT1A_MOUSE,"Carnitine O-palmitoyltransferase 1, liver isoform OS=Mus musculus GN=Cpt1a PE=1 SV=4",Cpt1a,P97742
SJPG102503.001,sp|P97760|RPB3_MOUSE,DNA-directed RNA polymerase II subunit RPB3 OS=Mus musculus GN=Polr2c PE=1 SV=1,Polr2c,P97760
SJPG100061.001,sp|P97765|WBP2_MOUSE,WW domain-binding protein 2 OS=Mus musculus GN=Wbp2 PE=1 SV=1,Wbp2,P97765
SJPG102606.001,sp|P97770|THUM3_MOUSE,THUMP domain-containing protein 3 OS=Mus musculus GN=Thumpd3 PE=2 SV=1,Thumpd3,P97770
SJPG105571.001,sp|P97789|XRN1_MOUSE,5'-3' exoribonuclease 1 OS=Mus musculus GN=Xrn1 PE=1 SV=1,Xrn1,P97789
SJPG101420.001,sp|P97807|FUMH_MOUSE,"Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh PE=1 SV=3",Fh,P97807
SJPG105914.001,sp|P97819|PLPL9_MOUSE,85/88 kDa calcium-independent phospholipase A2 OS=Mus musculus GN=Pla2g6 PE=1 SV=3,Pla2g6,P97819
SJPG102435.001,sp|P97820|M4K4_MOUSE,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Mus musculus GN=Map4k4 PE=1 SV=1,Map4k4,P97820
SJPG108311.001,sp|P97821|CATC_MOUSE,Dipeptidyl peptidase 1 OS=Mus musculus GN=Ctsc PE=2 SV=1,Ctsc,P97821
SJPG104144.001,sp|P97823|LYPA1_MOUSE,Acyl-protein thioesterase 1 OS=Mus musculus GN=Lypla1 PE=1 SV=1,Lypla1,P97823
SJPG103408.001,sp|P97855|G3BP1_MOUSE,Ras GTPase-activating protein-binding protein 1 OS=Mus musculus GN=G3bp1 PE=1 SV=1,G3bp1,P97855
SJPG110384.001,sp|P97857|ATS1_MOUSE,A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus GN=Adamts1 PE=1 SV=4,Adamts1,P97857
SJPG109351.001,sp|P97861|KRT86_MOUSE,"Keratin, type II cuticular Hb6 OS=Mus musculus GN=Krt86 PE=2 SV=2",Krt86,P97861
SJPG105234.001,sp|P97863|NFIB_MOUSE,Nuclear factor 1 B-type OS=Mus musculus GN=Nfib PE=1 SV=2,Nfib,P97863
SJPG104983.001,sp|P97868|RBBP6_MOUSE,E3 ubiquitin-protein ligase RBBP6 OS=Mus musculus GN=Rbbp6 PE=1 SV=5,Rbbp6,P97868
SJPG109277.001,sp|P97872|FMO5_MOUSE,Dimethylaniline monooxygenase [N-oxide-forming] 5 OS=Mus musculus GN=Fmo5 PE=2 SV=4,Fmo5,P97872
SJPG107460.001,sp|P97927|LAMA4_MOUSE,Laminin subunit alpha-4 OS=Mus musculus GN=Lama4 PE=1 SV=2,Lama4,P97927
SJPG103490.001,sp|P97930|KTHY_MOUSE,Thymidylate kinase OS=Mus musculus GN=Dtymk PE=2 SV=2,Dtymk,P97930
SJPG103000.001,sp|P97952|SCN1B_MOUSE,Sodium channel subunit beta-1 OS=Mus musculus GN=Scn1b PE=2 SV=1,Scn1b,P97952
SJPG103879.001,sp|P98078|DAB2_MOUSE,Disabled homolog 2 OS=Mus musculus GN=Dab2 PE=1 SV=2,Dab2,P98078
SJPG102285.001,sp|P98156|VLDLR_MOUSE,Very low-density lipoprotein receptor OS=Mus musculus GN=Vldlr PE=1 SV=1,Vldlr,P98156
SJPG103793.001,sp|P98192|GNPAT_MOUSE,Dihydroxyacetone phosphate acyltransferase OS=Mus musculus GN=Gnpat PE=2 SV=1,Gnpat,P98192
SJPG106835.001,sp|P98195|ATP9B_MOUSE,Probable phospholipid-transporting ATPase IIB OS=Mus musculus GN=Atp9b PE=2 SV=4,Atp9b,P98195
SJPG100062.001,sp|P99024|TBB5_MOUSE,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1,Tubb5,P99024
SJPG101714.001,sp|P99026|PSB4_MOUSE,Proteasome subunit beta type-4 OS=Mus musculus GN=Psmb4 PE=1 SV=1,Psmb4,P99026
SJPG105284.001,sp|P99028|QCR6_MOUSE,"Cytochrome b-c1 complex subunit 6, mitochondrial OS=Mus musculus GN=Uqcrh PE=1 SV=2",Uqcrh,P99028
SJPG100168.001,sp|P99029|PRDX5_MOUSE,"Peroxiredoxin-5, mitochondrial OS=Mus musculus GN=Prdx5 PE=1 SV=2",Prdx5,P99029
SJPG101772.001,sp|Q00493|CBPE_MOUSE,Carboxypeptidase E OS=Mus musculus GN=Cpe PE=1 SV=2,Cpe,Q00493
SJPG105555.001,sp|Q00519|XDH_MOUSE,Xanthine dehydrogenase/oxidase OS=Mus musculus GN=Xdh PE=1 SV=5,Xdh,Q00519
SJPG108065.001,sp|Q00547|HMMR_MOUSE,Hyaluronan mediated motility receptor OS=Mus musculus GN=Hmmr PE=1 SV=4,Hmmr,Q00547
SJPG101790.001,sp|Q00612|G6PD1_MOUSE,Glucose-6-phosphate 1-dehydrogenase X OS=Mus musculus GN=G6pdx PE=1 SV=3,G6pdx,Q00612
SJPG102851.001,sp|Q00623|APOA1_MOUSE,Apolipoprotein A-I OS=Mus musculus GN=Apoa1 PE=1 SV=2,Apoa1,Q00623
SJPG101740.001,sp|Q00896|A1AT3_MOUSE,Alpha-1-antitrypsin 1-3 OS=Mus musculus GN=Serpina1c PE=1 SV=2,Serpina1c,Q00896
SJPG101753.001,sp|Q00897|A1AT4_MOUSE,Alpha-1-antitrypsin 1-4 OS=Mus musculus GN=Serpina1d PE=2 SV=1,Serpina1d,Q00897
SJPG105740.001,sp|Q00898|A1AT5_MOUSE,Alpha-1-antitrypsin 1-5 OS=Mus musculus GN=Serpina1e PE=1 SV=1,Serpina1e,Q00898
SJPG101545.001,sp|Q00915|RET1_MOUSE,Retinol-binding protein 1 OS=Mus musculus GN=Rbp1 PE=2 SV=2,Rbp1,Q00915
SJPG102393.001,sp|Q00PI9|HNRL2_MOUSE,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Mus musculus GN=Hnrnpul2 PE=1 SV=2,Hnrnpul2,Q00PI9
SJPG103923.001,sp|Q01063|PDE4D_MOUSE,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D OS=Mus musculus GN=Pde4d PE=1 SV=2",Pde4d,Q01063
SJPG110825.001,sp|Q01149|CO1A2_MOUSE,Collagen alpha-2(I) chain OS=Mus musculus GN=Col1a2 PE=2 SV=2,Col1a2,Q01149
SJPG107322.001,sp|Q01279|EGFR_MOUSE,Epidermal growth factor receptor OS=Mus musculus GN=Egfr PE=1 SV=1,Egfr,Q01279
SJPG102129.001,sp|Q01320|TOP2A_MOUSE,DNA topoisomerase 2-alpha OS=Mus musculus GN=Top2a PE=1 SV=2,Top2a,Q01320
SJPG109890.001,sp|Q01339|APOH_MOUSE,Beta-2-glycoprotein 1 OS=Mus musculus GN=Apoh PE=1 SV=1,Apoh,Q01339
SJPG107601.001,sp|Q01341|ADCY6_MOUSE,Adenylate cyclase type 6 OS=Mus musculus GN=Adcy6 PE=1 SV=1,Adcy6,Q01341
SJPG101615.001,sp|Q01405|SC23A_MOUSE,Protein transport protein Sec23A OS=Mus musculus GN=Sec23a PE=1 SV=2,Sec23a,Q01405
SJPG101153.001,sp|Q01730|RSU1_MOUSE,Ras suppressor protein 1 OS=Mus musculus GN=Rsu1 PE=2 SV=3,Rsu1,Q01730
SJPG101046.001,sp|Q01768|NDKB_MOUSE,Nucleoside diphosphate kinase B OS=Mus musculus GN=Nme2 PE=1 SV=1,Nme2,Q01768
SJPG100171.001,sp|Q01853|TERA_MOUSE,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4,Vcp,Q01853
SJPG110591.001,sp|Q02013|AQP1_MOUSE,Aquaporin-1 OS=Mus musculus GN=Aqp1 PE=1 SV=3,Aqp1,Q02013
SJPG100598.001,sp|Q02053|UBA1_MOUSE,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1,Uba1,Q02053
SJPG105433.001,sp|Q02105|C1QC_MOUSE,Complement C1q subcomponent subunit C OS=Mus musculus GN=C1qc PE=2 SV=2,C1qc,Q02105
SJPG105412.001,sp|Q02111|KPCT_MOUSE,Protein kinase C theta type OS=Mus musculus GN=Prkcq PE=1 SV=1,Prkcq,Q02111
SJPG100346.001,sp|Q02248|CTNB1_MOUSE,Catenin beta-1 OS=Mus musculus GN=Ctnnb1 PE=1 SV=1,Ctnnb1,Q02248
SJPG103336.001,sp|Q02257|PLAK_MOUSE,Junction plakoglobin OS=Mus musculus GN=Jup PE=1 SV=3,Jup,Q02257
SJPG102126.001,sp|Q02357|ANK1_MOUSE,Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=2,Ank1,Q02357
SJPG112597.001,sp|Q02566|MYH6_MOUSE,Myosin-6 OS=Mus musculus GN=Myh6 PE=1 SV=2,Myh6,Q02566
SJPG110375.001,sp|Q02788|CO6A2_MOUSE,Collagen alpha-2(VI) chain OS=Mus musculus GN=Col6a2 PE=2 SV=3,Col6a2,Q02788
SJPG112430.001,sp|Q02789|CAC1S_MOUSE,Voltage-dependent L-type calcium channel subunit alpha-1S OS=Mus musculus GN=Cacna1s PE=1 SV=2,Cacna1s,Q02789
SJPG100431.001,sp|Q02819|NUCB1_MOUSE,Nucleobindin-1 OS=Mus musculus GN=Nucb1 PE=1 SV=2,Nucb1,Q02819
SJPG101607.001,sp|Q03141|MARK3_MOUSE,MAP/microtubule affinity-regulating kinase 3 OS=Mus musculus GN=Mark3 PE=1 SV=2,Mark3,Q03141
SJPG110887.001,sp|Q03249|GALT_MOUSE,Galactose-1-phosphate uridylyltransferase OS=Mus musculus GN=Galt PE=2 SV=3,Galt,Q03249
SJPG100078.001,sp|Q03265|ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1",Atp5a1,Q03265
SJPG103256.001,sp|Q03734|SPA3M_MOUSE,Serine protease inhibitor A3M OS=Mus musculus GN=Serpina3m PE=1 SV=2,Serpina3m,Q03734
SJPG106058.001,sp|Q04207|TF65_MOUSE,Transcription factor p65 OS=Mus musculus GN=Rela PE=1 SV=1,Rela,Q04207
SJPG100076.001,sp|Q04447|KCRB_MOUSE,Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1,Ckb,Q04447
SJPG102881.001,sp|Q04735|CDK16_MOUSE,Cyclin-dependent kinase 16 OS=Mus musculus GN=Cdk16 PE=1 SV=1,Cdk16,Q04735
SJPG103747.001,sp|Q04750|TOP1_MOUSE,DNA topoisomerase 1 OS=Mus musculus GN=Top1 PE=1 SV=2,Top1,Q04750
SJPG108433.001,sp|Q04857|CO6A1_MOUSE,Collagen alpha-1(VI) chain OS=Mus musculus GN=Col6a1 PE=2 SV=1,Col6a1,Q04857
SJPG107383.001,sp|Q05144|RAC2_MOUSE,Ras-related C3 botulinum toxin substrate 2 OS=Mus musculus GN=Rac2 PE=2 SV=1,Rac2,Q05144
SJPG100370.001,sp|Q05512|MARK2_MOUSE,Serine/threonine-protein kinase MARK2 OS=Mus musculus GN=Mark2 PE=1 SV=3,Mark2,Q05512
SJPG105403.001,sp|Q05793|PGBM_MOUSE,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1,Hspg2,Q05793
SJPG107304.001,sp|Q05921|RN5A_MOUSE,2-5A-dependent ribonuclease OS=Mus musculus GN=Rnasel PE=2 SV=2,Rnasel,Q05921
SJPG107728.001,sp|Q05AA6|DRP2_MOUSE,Dystrophin-related protein 2 OS=Mus musculus GN=Drp2 PE=2 SV=1,Drp2,Q05AA6
SJPG102737.003,sp|Q05BC3-3|EMAL1_MOUSE,Isoform 3 of Echinoderm microtubule-associated protein-like 1 OS=Mus musculus GN=Eml1,Eml1,Q05BC3-3
SJPG102737.001,sp|Q05BC3|EMAL1_MOUSE,Echinoderm microtubule-associated protein-like 1 OS=Mus musculus GN=Eml1 PE=1 SV=1,Eml1,Q05BC3
SJPG101275.001,sp|Q05D44|IF2P_MOUSE,Eukaryotic translation initiation factor 5B OS=Mus musculus GN=Eif5b PE=1 SV=2,Eif5b,Q05D44
SJPG101007.001,sp|Q06138|CAB39_MOUSE,Calcium-binding protein 39 OS=Mus musculus GN=Cab39 PE=1 SV=2,Cab39,Q06138
SJPG105683.001,sp|Q06180|PTN2_MOUSE,Tyrosine-protein phosphatase non-receptor type 2 OS=Mus musculus GN=Ptpn2 PE=1 SV=2,Ptpn2,Q06180
SJPG100361.001,sp|Q06185|ATP5I_MOUSE,"ATP synthase subunit e, mitochondrial OS=Mus musculus GN=Atp5i PE=1 SV=2",Atp5i,Q06185
SJPG100757.001,sp|Q06890|CLUS_MOUSE,Clusterin OS=Mus musculus GN=Clu PE=1 SV=1,Clu,Q06890
SJPG103850.001,sp|Q07076|ANXA7_MOUSE,Annexin A7 OS=Mus musculus GN=Anxa7 PE=2 SV=2,Anxa7,Q07076
SJPG112023.001,sp|Q07079|IBP5_MOUSE,Insulin-like growth factor-binding protein 5 OS=Mus musculus GN=Igfbp5 PE=1 SV=1,Igfbp5,Q07079
SJPG108420.001,sp|Q07113|MPRI_MOUSE,Cation-independent mannose-6-phosphate receptor OS=Mus musculus GN=Igf2r PE=1 SV=1,Igf2r,Q07113
SJPG100976.001,sp|Q07235|GDN_MOUSE,Glia-derived nexin OS=Mus musculus GN=Serpine2 PE=2 SV=2,Serpine2,Q07235
SJPG102507.001,sp|Q07417|ACADS_MOUSE,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acads PE=1 SV=2",Acads,Q07417
SJPG101494.001,sp|Q08024|PEBB_MOUSE,Core-binding factor subunit beta OS=Mus musculus GN=Cbfb PE=1 SV=1,Cbfb,Q08024
SJPG105499.001,sp|Q08091|CNN1_MOUSE,Calponin-1 OS=Mus musculus GN=Cnn1 PE=2 SV=1,Cnn1,Q08091
SJPG107180.001,sp|Q08093|CNN2_MOUSE,Calponin-2 OS=Mus musculus GN=Cnn2 PE=1 SV=1,Cnn2,Q08093
SJPG108353.001,sp|Q08481|PECA1_MOUSE,Platelet endothelial cell adhesion molecule OS=Mus musculus GN=Pecam1 PE=1 SV=1,Pecam1,Q08481
SJPG102446.001,sp|Q08642|PADI2_MOUSE,Protein-arginine deiminase type-2 OS=Mus musculus GN=Padi2 PE=1 SV=2,Padi2,Q08642
SJPG107992.001,sp|Q08857|CD36_MOUSE,Platelet glycoprotein 4 OS=Mus musculus GN=Cd36 PE=1 SV=2,Cd36,Q08857
SJPG108558.001,sp|Q08874|MITF_MOUSE,Microphthalmia-associated transcription factor OS=Mus musculus GN=Mitf PE=1 SV=3,Mitf,Q08874
SJPG104662.001,sp|Q08943|SSRP1_MOUSE,FACT complex subunit SSRP1 OS=Mus musculus GN=Ssrp1 PE=1 SV=2,Ssrp1,Q08943
SJPG101015.001,sp|Q0II04|NEBL_MOUSE,Nebulette OS=Mus musculus GN=Nebl PE=2 SV=1,Nebl,Q0II04
SJPG103511.001,sp|Q0KL02|TRIO_MOUSE,Triple functional domain protein OS=Mus musculus GN=Trio PE=1 SV=3,Trio,Q0KL02
SJPG118037.001,sp|Q0P5X1|LRIQ1_MOUSE,Leucine-rich repeat and IQ domain-containing protein 1 OS=Mus musculus GN=Lrriq1 PE=2 SV=2,Lrriq1,Q0P5X1
SJPG100916.001,sp|Q11011|PSA_MOUSE,Puromycin-sensitive aminopeptidase OS=Mus musculus GN=Npepps PE=1 SV=2,Npepps,Q11011
SJPG105984.001,sp|Q11136|PEPD_MOUSE,Xaa-Pro dipeptidase OS=Mus musculus GN=Pepd PE=2 SV=3,Pepd,Q11136
SJPG101661.001,sp|Q148V7|K1468_MOUSE,LisH domain and HEAT repeat-containing protein KIAA1468 OS=Mus musculus GN=Kiaa1468 PE=1 SV=1,Kiaa1468,Q148V7
SJPG112977.001,sp|Q148W8|DUS27_MOUSE,Inactive dual specificity phosphatase 27 OS=Mus musculus GN=Dusp27 PE=2 SV=1,Dusp27,Q148W8
SJPG112484.001,sp|Q149B8|PERM1_MOUSE,PGC-1 and ERR-induced regulator in muscle protein 1 OS=Mus musculus GN=Perm1 PE=1 SV=2,Perm1,Q149B8
SJPG110801.001,sp|Q149T7|PPM1J_MOUSE,Protein phosphatase 1J OS=Mus musculus GN=Ppm1j PE=1 SV=1,Ppm1j,Q149T7
SJPG105155.001,sp|Q14C51|PTCD3_MOUSE,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial OS=Mus musculus GN=Ptcd3 PE=2 SV=2",Ptcd3,Q14C51
SJPG105082.001,sp|Q14CH7|SYAM_MOUSE,"Alanine--tRNA ligase, mitochondrial OS=Mus musculus GN=Aars2 PE=2 SV=1",Aars2,Q14CH7
SJPG118038.001,sp|Q14DL3|LRIQ3_MOUSE,Leucine-rich repeat and IQ domain-containing protein 3 OS=Mus musculus GN=Lrriq3 PE=2 SV=1,Lrriq3,Q14DL3
SJPG111400.001,sp|Q17ST2|KCNA7_MOUSE,Potassium voltage-gated channel subfamily A member 7 OS=Mus musculus GN=Kcna7 PE=2 SV=2,Kcna7,Q17ST2
SJPG114755.001,sp|Q1ERP8|CLM9_MOUSE,CMRF35-like molecule 9 OS=Mus musculus GN=Cd300lg PE=1 SV=1,Cd300lg,Q1ERP8
SJPG101332.001,sp|Q1HFZ0|NSUN2_MOUSE,tRNA (cytosine(34)-C(5))-methyltransferase OS=Mus musculus GN=Nsun2 PE=1 SV=2,Nsun2,Q1HFZ0
SJPG112867.001,sp|Q1XH17|TRI72_MOUSE,Tripartite motif-containing protein 72 OS=Mus musculus GN=Trim72 PE=1 SV=1,Trim72,Q1XH17
SJPG107000.001,sp|Q2KN98|CYTSA_MOUSE,Cytospin-A OS=Mus musculus GN=Specc1l PE=1 SV=1,Specc1l,Q2KN98
SJPG102444.001,sp|Q2NL51|GSK3A_MOUSE,Glycogen synthase kinase-3 alpha OS=Mus musculus GN=Gsk3a PE=1 SV=2,Gsk3a,Q2NL51
SJPG101277.001,sp|Q2PFD7|PSD3_MOUSE,PH and SEC7 domain-containing protein 3 OS=Mus musculus GN=Psd3 PE=1 SV=2,Psd3,Q2PFD7
SJPG103289.001,sp|Q2TBE6|P4K2A_MOUSE,Phosphatidylinositol 4-kinase type 2-alpha OS=Mus musculus GN=Pi4k2a PE=1 SV=1,Pi4k2a,Q2TBE6
SJPG101138.001,sp|Q2TPA8|HSDL2_MOUSE,Hydroxysteroid dehydrogenase-like protein 2 OS=Mus musculus GN=Hsdl2 PE=1 SV=1,Hsdl2,Q2TPA8
SJPG113011.001,sp|Q30D77|COOA1_MOUSE,Collagen alpha-1(XXIV) chain OS=Mus musculus GN=Col24a1 PE=2 SV=2,Col24a1,Q30D77
SJPG109066.001,sp|Q31125|S39A7_MOUSE,Zinc transporter SLC39A7 OS=Mus musculus GN=Slc39a7 PE=1 SV=2,Slc39a7,Q31125
SJPG103918.001,sp|Q3B7Z2|OSBP1_MOUSE,Oxysterol-binding protein 1 OS=Mus musculus GN=Osbp PE=1 SV=3,Osbp,Q3B7Z2
SJPG105497.001,sp|Q3KNM2|MARH5_MOUSE,E3 ubiquitin-protein ligase MARCH5 OS=Mus musculus GN=March5 PE=2 SV=1,March5,Q3KNM2
SJPG111406.001,sp|Q3KNY0|IGFN1_MOUSE,Immunoglobulin-like and fibronectin type III domain-containing protein 1 OS=Mus musculus GN=Igfn1 PE=1 SV=3,Igfn1,Q3KNY0
SJPG112065.001,sp|Q3MI48|JSPR1_MOUSE,Junctional sarcoplasmic reticulum protein 1 OS=Mus musculus GN=Jsrp1 PE=1 SV=2,Jsrp1,Q3MI48
SJPG103002.001,sp|Q3TAS6|EMC10_MOUSE,ER membrane protein complex subunit 10 OS=Mus musculus GN=Emc10 PE=2 SV=2,Emc10,Q3TAS6
SJPG105517.001,sp|Q3TBW2|RM10_MOUSE,"39S ribosomal protein L10, mitochondrial OS=Mus musculus GN=Mrpl10 PE=2 SV=2",Mrpl10,Q3TBW2
SJPG102704.001,sp|Q3TC33|CC127_MOUSE,Coiled-coil domain-containing protein 127 OS=Mus musculus GN=Ccdc127 PE=2 SV=2,Ccdc127,Q3TC33
SJPG102471.001,sp|Q3TC72|FAHD2_MOUSE,Fumarylacetoacetate hydrolase domain-containing protein 2A OS=Mus musculus GN=Fahd2 PE=1 SV=1,Fahd2,Q3TC72
SJPG102063.001,sp|Q3TC93|H1BP3_MOUSE,HCLS1-binding protein 3 OS=Mus musculus GN=Hs1bp3 PE=1 SV=2,Hs1bp3,Q3TC93
SJPG105846.001,sp|Q3TCH7|CUL4A_MOUSE,Cullin-4A OS=Mus musculus GN=Cul4a PE=1 SV=1,Cul4a,Q3TCH7
SJPG102034.001,sp|Q3TCJ1|F175B_MOUSE,BRISC complex subunit Abro1 OS=Mus musculus GN=Fam175b PE=2 SV=1,Fam175b,Q3TCJ1
SJPG106111.001,sp|Q3TCX3|K0907_MOUSE,UPF0469 protein KIAA0907 OS=Mus musculus GN=Kiaa0907 PE=2 SV=1,Kiaa0907,Q3TCX3
SJPG100564.001,sp|Q3TDN2|FAF2_MOUSE,FAS-associated factor 2 OS=Mus musculus GN=Faf2 PE=2 SV=2,Faf2,Q3TDN2
SJPG106546.001,sp|Q3TDQ1|STT3B_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Mus musculus GN=Stt3b PE=1 SV=2,Stt3b,Q3TDQ1
SJPG100577.001,sp|Q3TEA8|HP1B3_MOUSE,Heterochromatin protein 1-binding protein 3 OS=Mus musculus GN=Hp1bp3 PE=1 SV=1,Hp1bp3,Q3TEA8
SJPG104850.001,sp|Q3TGW2|EEPD1_MOUSE,Endonuclease/exonuclease/phosphatase family domain-containing protein 1 OS=Mus musculus GN=Eepd1 PE=1 SV=1,Eepd1,Q3TGW2
SJPG100185.001,sp|Q3THE2|ML12B_MOUSE,Myosin regulatory light chain 12B OS=Mus musculus GN=Myl12b PE=1 SV=2,Myl12b,Q3THE2
SJPG102089.001,sp|Q3THG9|AASD1_MOUSE,Alanyl-tRNA editing protein Aarsd1 OS=Mus musculus GN=Aarsd1 PE=1 SV=2,Aarsd1,Q3THG9
SJPG100747.001,sp|Q3THK7|GUAA_MOUSE,GMP synthase [glutamine-hydrolyzing] OS=Mus musculus GN=Gmps PE=1 SV=2,Gmps,Q3THK7
SJPG101167.001,sp|Q3THS6|METK2_MOUSE,S-adenosylmethionine synthase isoform type-2 OS=Mus musculus GN=Mat2a PE=2 SV=2,Mat2a,Q3THS6
SJPG112071.001,sp|Q3TI53|SCHI1_MOUSE,Schwannomin-interacting protein 1 OS=Mus musculus GN=Schip1 PE=1 SV=2,Schip1,Q3TI53
SJPG103060.001,sp|Q3TIR3|RIC8A_MOUSE,Synembryn-A OS=Mus musculus GN=Ric8a PE=1 SV=2,Ric8a,Q3TIR3
SJPG105554.001,sp|Q3TIU4|PDE12_MOUSE,"2',5'-phosphodiesterase 12 OS=Mus musculus GN=Pde12 PE=2 SV=2",Pde12,Q3TIU4
SJPG100429.001,sp|Q3TIV5|ZC3HF_MOUSE,Zinc finger CCCH domain-containing protein 15 OS=Mus musculus GN=Zc3h15 PE=1 SV=2,Zc3h15,Q3TIV5
SJPG108186.002,sp|Q3TJD7-2|PDLI7_MOUSE,Isoform 2 of PDZ and LIM domain protein 7 OS=Mus musculus GN=Pdlim7,Pdlim7,Q3TJD7-2
SJPG108186.001,sp|Q3TJD7|PDLI7_MOUSE,PDZ and LIM domain protein 7 OS=Mus musculus GN=Pdlim7 PE=2 SV=1,Pdlim7,Q3TJD7
SJPG104581.001,sp|Q3TJZ6|FA98A_MOUSE,Protein FAM98A OS=Mus musculus GN=Fam98a PE=2 SV=1,Fam98a,Q3TJZ6
SJPG103079.001,sp|Q3TKT4|SMCA4_MOUSE,Transcription activator BRG1 OS=Mus musculus GN=Smarca4 PE=1 SV=1,Smarca4,Q3TKT4
SJPG105320.001,sp|Q3TL44|NLRX1_MOUSE,NLR family member X1 OS=Mus musculus GN=Nlrx1 PE=2 SV=1,Nlrx1,Q3TL44
SJPG102685.001,sp|Q3TLH4|PRC2C_MOUSE,Protein PRRC2C OS=Mus musculus GN=Prrc2c PE=1 SV=3,Prrc2c,Q3TLH4
SJPG107037.001,sp|Q3TLI0|TPC10_MOUSE,Trafficking protein particle complex subunit 10 OS=Mus musculus GN=Trappc10 PE=1 SV=2,Trappc10,Q3TLI0
SJPG104011.001,sp|Q3TLP5|ECHD2_MOUSE,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Mus musculus GN=Echdc2 PE=1 SV=2",Echdc2,Q3TLP5
SJPG104963.001,sp|Q3TLS3|GDPP1_MOUSE,GDP-D-glucose phosphorylase 1 OS=Mus musculus GN=Gdpgp1 PE=2 SV=2,Gdpgp1,Q3TLS3
